freq,unit,bmi,geo,TIME_PERIOD,values
A,PC,BMI25-29,AL,2022,44.8
A,PC,BMI25-29,AT,2008,36.5
A,PC,BMI25-29,AT,2014,33.3
A,PC,BMI25-29,AT,2017,35
A,PC,BMI25-29,AT,2019,35
A,PC,BMI25-29,AT,2022,35
A,PC,BMI25-29,AT,2025,35.4
A,PC,BMI25-29,BA,2022,44.6
A,PC,BMI25-29,BE,2008,33.5
A,PC,BMI25-29,BE,2014,35.3
A,PC,BMI25-29,BE,2017,33.9
A,PC,BMI25-29,BE,2019,33.9
A,PC,BMI25-29,BE,2022,33
A,PC,BMI25-29,BE,2025,34.6
A,PC,BMI25-29,BG,2008,39.3
A,PC,BMI25-29,BG,2014,39.2
A,PC,BMI25-29,BG,2017,45.1
A,PC,BMI25-29,BG,2019,41.2
A,PC,BMI25-29,BG,2022,42
A,PC,BMI25-29,BG,2025,41.7
A,PC,BMI25-29,CH,2017,32
A,PC,BMI25-29,CH,2022,31.9
A,PC,BMI25-29,CY,2008,35.7
A,PC,BMI25-29,CY,2014,33.8
A,PC,BMI25-29,CY,2017,38
A,PC,BMI25-29,CY,2019,34.6
A,PC,BMI25-29,CY,2022,34.6
A,PC,BMI25-29,CY,2025,36.4
A,PC,BMI25-29,CZ,2008,38.3
A,PC,BMI25-29,CZ,2014,37.6
A,PC,BMI25-29,CZ,2017,41.9
A,PC,BMI25-29,CZ,2019,40.1
A,PC,BMI25-29,CZ,2022,38.7
A,PC,BMI25-29,CZ,2025,39.3
A,PC,BMI25-29,DE,2008,36.3
A,PC,BMI25-29,DE,2014,35.2
A,PC,BMI25-29,DE,2017,35.9
A,PC,BMI25-29,DE,2019,34.5
A,PC,BMI25-29,DE,2022,NA
A,PC,BMI25-29,DE,2025,32.9
A,PC,BMI25-29,DK,2014,32.9
A,PC,BMI25-29,DK,2017,36.8
A,PC,BMI25-29,DK,2019,34
A,PC,BMI25-29,DK,2022,35.1
A,PC,BMI25-29,DK,2025,34.1
A,PC,BMI25-29,EA20,2017,35.4
A,PC,BMI25-29,EA20,2022,35
A,PC,BMI25-29,EA20,2025,34
A,PC,BMI25-29,EA21,2025,34.2
A,PC,BMI25-29,EE,2008,32.5
A,PC,BMI25-29,EE,2014,33.5
A,PC,BMI25-29,EE,2017,35.1
A,PC,BMI25-29,EE,2019,34.9
A,PC,BMI25-29,EE,2022,35.2
A,PC,BMI25-29,EE,2025,36.2
A,PC,BMI25-29,EL,2008,38.7
A,PC,BMI25-29,EL,2014,39.4
A,PC,BMI25-29,EL,2017,43.1
A,PC,BMI25-29,EL,2019,41
A,PC,BMI25-29,EL,2022,42.9
A,PC,BMI25-29,EL,2025,42.1
A,PC,BMI25-29,ES,2008,37.3
A,PC,BMI25-29,ES,2014,35.7
A,PC,BMI25-29,ES,2017,37.5
A,PC,BMI25-29,ES,2019,37.8
A,PC,BMI25-29,ES,2022,36.2
A,PC,BMI25-29,ES,2025,36.3
A,PC,BMI25-29,EU27_2020,2014,35.7
A,PC,BMI25-29,EU27_2020,2017,37
A,PC,BMI25-29,EU27_2020,2019,36.2
A,PC,BMI25-29,EU27_2020,2022,36.5
A,PC,BMI25-29,EU27_2020,2025,35.4
A,PC,BMI25-29,FI,2014,36.4
A,PC,BMI25-29,FI,2017,40.6
A,PC,BMI25-29,FI,2019,38.1
A,PC,BMI25-29,FI,2022,38.1
A,PC,BMI25-29,FI,2025,38.4
A,PC,BMI25-29,FR,2008,31.4
A,PC,BMI25-29,FR,2014,31.9
A,PC,BMI25-29,FR,2017,30.4
A,PC,BMI25-29,FR,2019,32.1
A,PC,BMI25-29,FR,2022,31.2
A,PC,BMI25-29,FR,2025,31.8
A,PC,BMI25-29,HR,2014,38.7
A,PC,BMI25-29,HR,2017,42.6
A,PC,BMI25-29,HR,2019,41.7
A,PC,BMI25-29,HR,2022,41.3
A,PC,BMI25-29,HR,2025,42.7
A,PC,BMI25-29,HU,2008,34.9
A,PC,BMI25-29,HU,2014,34
A,PC,BMI25-29,HU,2017,36.3
A,PC,BMI25-29,HU,2019,35.4
A,PC,BMI25-29,HU,2022,36.2
A,PC,BMI25-29,HU,2025,35.7
A,PC,BMI25-29,IE,2014,37
A,PC,BMI25-29,IE,2017,41.9
A,PC,BMI25-29,IE,2019,NA
A,PC,BMI25-29,IE,2022,33.3
A,PC,BMI25-29,IE,2025,36.1
A,PC,BMI25-29,IS,2014,38.6
A,PC,BMI25-29,IS,2017,39.1
A,PC,BMI25-29,IS,2019,39.7
A,PC,BMI25-29,IS,2022,36.7
A,PC,BMI25-29,IT,2014,34.1
A,PC,BMI25-29,IT,2017,34.4
A,PC,BMI25-29,IT,2019,33.9
A,PC,BMI25-29,IT,2022,34.8
A,PC,BMI25-29,IT,2025,31.3
A,PC,BMI25-29,LT,2014,38.3
A,PC,BMI25-29,LT,2017,38.7
A,PC,BMI25-29,LT,2019,37.9
A,PC,BMI25-29,LT,2022,38.7
A,PC,BMI25-29,LT,2025,39.2
A,PC,BMI25-29,LU,2014,32.4
A,PC,BMI25-29,LU,2017,33.3
A,PC,BMI25-29,LU,2019,31.9
A,PC,BMI25-29,LU,2022,32.7
A,PC,BMI25-29,LU,2025,33.5
A,PC,BMI25-29,LV,2008,38
A,PC,BMI25-29,LV,2014,35.2
A,PC,BMI25-29,LV,2017,35.5
A,PC,BMI25-29,LV,2019,35.3
A,PC,BMI25-29,LV,2022,37.1
A,PC,BMI25-29,LV,2025,35.2
A,PC,BMI25-29,ME,2017,42.2
A,PC,BMI25-29,ME,2022,40.2
A,PC,BMI25-29,MK,2017,45.2
A,PC,BMI25-29,MK,2022,46.6
A,PC,BMI25-29,MT,2008,36.8
A,PC,BMI25-29,MT,2014,35
A,PC,BMI25-29,MT,2017,36.5
A,PC,BMI25-29,MT,2019,36.1
A,PC,BMI25-29,MT,2022,36.3
A,PC,BMI25-29,MT,2025,35.7
A,PC,BMI25-29,NL,2014,36
A,PC,BMI25-29,NL,2017,34.2
A,PC,BMI25-29,NL,2019,35.4
A,PC,BMI25-29,NL,2022,34.4
A,PC,BMI25-29,NL,2025,33.7
A,PC,BMI25-29,NO,2014,36.2
A,PC,BMI25-29,NO,2017,36.3
A,PC,BMI25-29,NO,2019,36.5
A,PC,BMI25-29,NO,2022,36.7
A,PC,BMI25-29,NO,2025,37.2
A,PC,BMI25-29,PL,2008,37.6
A,PC,BMI25-29,PL,2014,37.5
A,PC,BMI25-29,PL,2017,39.2
A,PC,BMI25-29,PL,2019,39.1
A,PC,BMI25-29,PL,2022,39.8
A,PC,BMI25-29,PL,2025,39.4
A,PC,BMI25-29,PT,2014,36.9
A,PC,BMI25-29,PT,2017,37.6
A,PC,BMI25-29,PT,2019,38.2
A,PC,BMI25-29,PT,2022,37.2
A,PC,BMI25-29,PT,2025,38.2
A,PC,BMI25-29,RO,2008,42.4
A,PC,BMI25-29,RO,2014,46.4
A,PC,BMI25-29,RO,2017,52.5
A,PC,BMI25-29,RO,2019,47.7
A,PC,BMI25-29,RO,2022,49.4
A,PC,BMI25-29,RO,2025,49.4
A,PC,BMI25-29,RS,2017,36.2
A,PC,BMI25-29,RS,2019,36.3
A,PC,BMI25-29,RS,2022,40.7
A,PC,BMI25-29,RS,2025,39.4
A,PC,BMI25-29,SE,2014,35.9
A,PC,BMI25-29,SE,2017,40.6
A,PC,BMI25-29,SE,2019,36
A,PC,BMI25-29,SE,2022,36.4
A,PC,BMI25-29,SE,2025,36.7
A,PC,BMI25-29,SI,2008,39.8
A,PC,BMI25-29,SI,2014,37.4
A,PC,BMI25-29,SI,2017,36.3
A,PC,BMI25-29,SI,2019,38.2
A,PC,BMI25-29,SI,2022,37.2
A,PC,BMI25-29,SI,2025,38.2
A,PC,BMI25-29,SK,2008,35.6
A,PC,BMI25-29,SK,2014,38
A,PC,BMI25-29,SK,2017,40
A,PC,BMI25-29,SK,2019,38.9
A,PC,BMI25-29,SK,2022,41.3
A,PC,BMI25-29,SK,2025,39.9
A,PC,BMI25-29,TR,2008,34.4
A,PC,BMI25-29,TR,2014,35.3
A,PC,BMI25-29,TR,2019,36.5
A,PC,BMI25-29,TR,2022,38.4
A,PC,BMI25-29,TR,2025,38.4
A,PC,BMI25-29,UK,2014,35.6
A,PC,BMI25-29,UK,2017,35.2
A,PC,BMI_GE25,AL,2022,57.4
A,PC,BMI_GE25,AT,2008,49.3
A,PC,BMI_GE25,AT,2014,48
A,PC,BMI_GE25,AT,2017,50
A,PC,BMI_GE25,AT,2019,52.2
A,PC,BMI_GE25,AT,2022,52.7
A,PC,BMI_GE25,AT,2025,52.9
A,PC,BMI_GE25,BA,2022,60.3
A,PC,BMI_GE25,BE,2008,47.5
A,PC,BMI_GE25,BE,2014,49.3
A,PC,BMI_GE25,BE,2017,48.6
A,PC,BMI_GE25,BE,2019,50.2
A,PC,BMI_GE25,BE,2022,48.7
A,PC,BMI_GE25,BE,2025,51.4
A,PC,BMI_GE25,BG,2008,50.8
A,PC,BMI_GE25,BG,2014,54
A,PC,BMI_GE25,BG,2017,59.2
A,PC,BMI_GE25,BG,2019,54.9
A,PC,BMI_GE25,BG,2022,53.6
A,PC,BMI_GE25,BG,2025,57.1
A,PC,BMI_GE25,CH,2017,43.2
A,PC,BMI_GE25,CH,2022,45
A,PC,BMI_GE25,CY,2008,51.3
A,PC,BMI_GE25,CY,2014,48.3
A,PC,BMI_GE25,CY,2017,52.7
A,PC,BMI_GE25,CY,2019,49.8
A,PC,BMI_GE25,CY,2022,48.4
A,PC,BMI_GE25,CY,2025,51.9
A,PC,BMI_GE25,CZ,2008,56.6
A,PC,BMI_GE25,CZ,2014,56.8
A,PC,BMI_GE25,CZ,2017,62.3
A,PC,BMI_GE25,CZ,2019,60
A,PC,BMI_GE25,CZ,2022,56.5
A,PC,BMI_GE25,CZ,2025,60.4
A,PC,BMI_GE25,DE,2008,52.1
A,PC,BMI_GE25,DE,2014,52.1
A,PC,BMI_GE25,DE,2017,56.7
A,PC,BMI_GE25,DE,2019,53.5
A,PC,BMI_GE25,DE,2022,NA
A,PC,BMI_GE25,DE,2025,53.6
A,PC,BMI_GE25,DK,2014,47.7
A,PC,BMI_GE25,DK,2017,54.7
A,PC,BMI_GE25,DK,2019,50.4
A,PC,BMI_GE25,DK,2022,54
A,PC,BMI_GE25,DK,2025,54.6
A,PC,BMI_GE25,EA20,2017,50.2
A,PC,BMI_GE25,EA20,2022,49.4
A,PC,BMI_GE25,EA20,2025,49.9
A,PC,BMI_GE25,EA21,2025,50.1
A,PC,BMI_GE25,EE,2008,51
A,PC,BMI_GE25,EE,2014,53.9
A,PC,BMI_GE25,EE,2017,56.1
A,PC,BMI_GE25,EE,2019,56.7
A,PC,BMI_GE25,EE,2022,57.4
A,PC,BMI_GE25,EE,2025,58.2
A,PC,BMI_GE25,EL,2008,56.3
A,PC,BMI_GE25,EL,2014,56.7
A,PC,BMI_GE25,EL,2017,54.8
A,PC,BMI_GE25,EL,2019,57.6
A,PC,BMI_GE25,EL,2022,54.8
A,PC,BMI_GE25,EL,2025,55
A,PC,BMI_GE25,ES,2008,53
A,PC,BMI_GE25,ES,2014,52.4
A,PC,BMI_GE25,ES,2017,51.6
A,PC,BMI_GE25,ES,2019,53.7
A,PC,BMI_GE25,ES,2022,51.1
A,PC,BMI_GE25,ES,2025,51.2
A,PC,BMI_GE25,EU27_2020,2014,51.1
A,PC,BMI_GE25,EU27_2020,2017,52
A,PC,BMI_GE25,EU27_2020,2019,52.7
A,PC,BMI_GE25,EU27_2020,2022,51.3
A,PC,BMI_GE25,EU27_2020,2025,51.7
A,PC,BMI_GE25,FI,2014,54.7
A,PC,BMI_GE25,FI,2017,61.1
A,PC,BMI_GE25,FI,2019,59
A,PC,BMI_GE25,FI,2022,59.4
A,PC,BMI_GE25,FI,2025,61.7
A,PC,BMI_GE25,FR,2008,43.6
A,PC,BMI_GE25,FR,2014,47.2
A,PC,BMI_GE25,FR,2017,45.6
A,PC,BMI_GE25,FR,2019,47.2
A,PC,BMI_GE25,FR,2022,46.4
A,PC,BMI_GE25,FR,2025,48.1
A,PC,BMI_GE25,HR,2014,57.4
A,PC,BMI_GE25,HR,2017,60.9
A,PC,BMI_GE25,HR,2019,64.8
A,PC,BMI_GE25,HR,2022,58.1
A,PC,BMI_GE25,HR,2025,59.2
A,PC,BMI_GE25,HU,2008,54.9
A,PC,BMI_GE25,HU,2014,55.2
A,PC,BMI_GE25,HU,2017,56.3
A,PC,BMI_GE25,HU,2019,59.9
A,PC,BMI_GE25,HU,2022,58.4
A,PC,BMI_GE25,HU,2025,56.6
A,PC,BMI_GE25,IE,2014,55.7
A,PC,BMI_GE25,IE,2017,57.1
A,PC,BMI_GE25,IE,2019,NA
A,PC,BMI_GE25,IE,2022,53
A,PC,BMI_GE25,IE,2025,58.2
A,PC,BMI_GE25,IS,2014,57.6
A,PC,BMI_GE25,IS,2017,59.9
A,PC,BMI_GE25,IS,2019,62
A,PC,BMI_GE25,IS,2022,61
A,PC,BMI_GE25,IT,2014,44.9
A,PC,BMI_GE25,IT,2017,40.3
A,PC,BMI_GE25,IT,2019,45.7
A,PC,BMI_GE25,IT,2022,41.9
A,PC,BMI_GE25,IT,2025,38.3
A,PC,BMI_GE25,LT,2014,55.6
A,PC,BMI_GE25,LT,2017,56.2
A,PC,BMI_GE25,LT,2019,56.8
A,PC,BMI_GE25,LT,2022,59.4
A,PC,BMI_GE25,LT,2025,60.7
A,PC,BMI_GE25,LU,2014,48
A,PC,BMI_GE25,LU,2017,49.3
A,PC,BMI_GE25,LU,2019,48.4
A,PC,BMI_GE25,LU,2022,49.7
A,PC,BMI_GE25,LU,2025,49.7
A,PC,BMI_GE25,LV,2008,54.9
A,PC,BMI_GE25,LV,2014,56.5
A,PC,BMI_GE25,LV,2017,57
A,PC,BMI_GE25,LV,2019,58.3
A,PC,BMI_GE25,LV,2022,60.4
A,PC,BMI_GE25,LV,2025,59.9
A,PC,BMI_GE25,ME,2017,52.8
A,PC,BMI_GE25,ME,2022,48.1
A,PC,BMI_GE25,MK,2017,55.7
A,PC,BMI_GE25,MK,2022,62.1
A,PC,BMI_GE25,MT,2008,59.7
A,PC,BMI_GE25,MT,2014,61
A,PC,BMI_GE25,MT,2017,62.2
A,PC,BMI_GE25,MT,2019,64.8
A,PC,BMI_GE25,MT,2022,62.5
A,PC,BMI_GE25,MT,2025,62.3
A,PC,BMI_GE25,NL,2014,49.4
A,PC,BMI_GE25,NL,2017,46.9
A,PC,BMI_GE25,NL,2019,50
A,PC,BMI_GE25,NL,2022,47.6
A,PC,BMI_GE25,NL,2025,48.6
A,PC,BMI_GE25,NO,2014,49.3
A,PC,BMI_GE25,NO,2017,50.4
A,PC,BMI_GE25,NO,2019,50.6
A,PC,BMI_GE25,NO,2022,52.8
A,PC,BMI_GE25,NO,2025,54.2
A,PC,BMI_GE25,PL,2008,54
A,PC,BMI_GE25,PL,2014,54.7
A,PC,BMI_GE25,PL,2017,56.1
A,PC,BMI_GE25,PL,2019,58.1
A,PC,BMI_GE25,PL,2022,58.4
A,PC,BMI_GE25,PL,2025,58.8
A,PC,BMI_GE25,PT,2014,53.6
A,PC,BMI_GE25,PT,2017,53.3
A,PC,BMI_GE25,PT,2019,55.9
A,PC,BMI_GE25,PT,2022,53
A,PC,BMI_GE25,PT,2025,55.2
A,PC,BMI_GE25,RO,2008,50.3
A,PC,BMI_GE25,RO,2014,55.8
A,PC,BMI_GE25,RO,2017,62.9
A,PC,BMI_GE25,RO,2019,58.7
A,PC,BMI_GE25,RO,2022,59.7
A,PC,BMI_GE25,RO,2025,62.3
A,PC,BMI_GE25,RS,2017,49.5
A,PC,BMI_GE25,RS,2019,53.6
A,PC,BMI_GE25,RS,2022,52.4
A,PC,BMI_GE25,RS,2025,53
A,PC,BMI_GE25,SE,2014,49.9
A,PC,BMI_GE25,SE,2017,57.6
A,PC,BMI_GE25,SE,2019,51.3
A,PC,BMI_GE25,SE,2022,53.1
A,PC,BMI_GE25,SE,2025,54.2
A,PC,BMI_GE25,SI,2008,56.6
A,PC,BMI_GE25,SI,2014,56.6
A,PC,BMI_GE25,SI,2017,52.5
A,PC,BMI_GE25,SI,2019,58.1
A,PC,BMI_GE25,SI,2022,54.5
A,PC,BMI_GE25,SI,2025,56.8
A,PC,BMI_GE25,SK,2008,50.7
A,PC,BMI_GE25,SK,2014,54.2
A,PC,BMI_GE25,SK,2017,54.5
A,PC,BMI_GE25,SK,2019,58.7
A,PC,BMI_GE25,SK,2022,58.4
A,PC,BMI_GE25,SK,2025,57.7
A,PC,BMI_GE25,TR,2008,50.6
A,PC,BMI_GE25,TR,2014,56.5
A,PC,BMI_GE25,TR,2019,58.8
A,PC,BMI_GE25,TR,2022,58.5
A,PC,BMI_GE25,TR,2025,59.8
A,PC,BMI_GE25,UK,2014,55.7
A,PC,BMI_GE25,UK,2017,56.1
A,PC,BMI_GE30,AL,2022,12.6
A,PC,BMI_GE30,AT,2008,12.8
A,PC,BMI_GE30,AT,2014,14.7
A,PC,BMI_GE30,AT,2017,15
A,PC,BMI_GE30,AT,2019,17.1
A,PC,BMI_GE30,AT,2022,17.7
A,PC,BMI_GE30,AT,2025,17.6
A,PC,BMI_GE30,BA,2022,15.7
A,PC,BMI_GE30,BE,2008,14
A,PC,BMI_GE30,BE,2014,14
A,PC,BMI_GE30,BE,2017,14.7
A,PC,BMI_GE30,BE,2019,16.3
A,PC,BMI_GE30,BE,2022,15.8
A,PC,BMI_GE30,BE,2025,16.8
A,PC,BMI_GE30,BG,2008,11.5
A,PC,BMI_GE30,BG,2014,14.8
A,PC,BMI_GE30,BG,2017,14.1
A,PC,BMI_GE30,BG,2019,13.6
A,PC,BMI_GE30,BG,2022,11.7
A,PC,BMI_GE30,BG,2025,15.4
A,PC,BMI_GE30,CH,2017,11.2
A,PC,BMI_GE30,CH,2022,13.1
A,PC,BMI_GE30,CY,2008,15.6
A,PC,BMI_GE30,CY,2014,14.5
A,PC,BMI_GE30,CY,2017,14.7
A,PC,BMI_GE30,CY,2019,15.2
A,PC,BMI_GE30,CY,2022,13.8
A,PC,BMI_GE30,CY,2025,15.5
A,PC,BMI_GE30,CZ,2008,18.3
A,PC,BMI_GE30,CZ,2014,19.3
A,PC,BMI_GE30,CZ,2017,20.5
A,PC,BMI_GE30,CZ,2019,19.8
A,PC,BMI_GE30,CZ,2022,17.8
A,PC,BMI_GE30,CZ,2025,21.1
A,PC,BMI_GE30,DE,2008,15.8
A,PC,BMI_GE30,DE,2014,16.9
A,PC,BMI_GE30,DE,2017,20.9
A,PC,BMI_GE30,DE,2019,19
A,PC,BMI_GE30,DE,2022,NA
A,PC,BMI_GE30,DE,2025,20.8
A,PC,BMI_GE30,DK,2014,14.9
A,PC,BMI_GE30,DK,2017,17.9
A,PC,BMI_GE30,DK,2019,16.5
A,PC,BMI_GE30,DK,2022,19
A,PC,BMI_GE30,DK,2025,20.5
A,PC,BMI_GE30,EA20,2017,14.8
A,PC,BMI_GE30,EA20,2022,14.3
A,PC,BMI_GE30,EA20,2025,15.9
A,PC,BMI_GE30,EA21,2025,15.9
A,PC,BMI_GE30,EE,2008,18.5
A,PC,BMI_GE30,EE,2014,20.4
A,PC,BMI_GE30,EE,2017,21
A,PC,BMI_GE30,EE,2019,21.8
A,PC,BMI_GE30,EE,2022,22.1
A,PC,BMI_GE30,EE,2025,22
A,PC,BMI_GE30,EL,2008,17.6
A,PC,BMI_GE30,EL,2014,17.3
A,PC,BMI_GE30,EL,2017,11.6
A,PC,BMI_GE30,EL,2019,16.7
A,PC,BMI_GE30,EL,2022,11.9
A,PC,BMI_GE30,EL,2025,12.8
A,PC,BMI_GE30,ES,2008,15.7
A,PC,BMI_GE30,ES,2014,16.7
A,PC,BMI_GE30,ES,2017,14
A,PC,BMI_GE30,ES,2019,16
A,PC,BMI_GE30,ES,2022,14.9
A,PC,BMI_GE30,ES,2025,14.9
A,PC,BMI_GE30,EU27_2020,2014,15.4
A,PC,BMI_GE30,EU27_2020,2017,15.1
A,PC,BMI_GE30,EU27_2020,2019,16.5
A,PC,BMI_GE30,EU27_2020,2022,14.8
A,PC,BMI_GE30,EU27_2020,2025,16.3
A,PC,BMI_GE30,FI,2014,18.3
A,PC,BMI_GE30,FI,2017,20.6
A,PC,BMI_GE30,FI,2019,20.9
A,PC,BMI_GE30,FI,2022,21.2
A,PC,BMI_GE30,FI,2025,23.2
A,PC,BMI_GE30,FR,2008,12.2
A,PC,BMI_GE30,FR,2014,15.3
A,PC,BMI_GE30,FR,2017,15.1
A,PC,BMI_GE30,FR,2019,15
A,PC,BMI_GE30,FR,2022,15.2
A,PC,BMI_GE30,FR,2025,16.3
A,PC,BMI_GE30,HR,2014,18.7
A,PC,BMI_GE30,HR,2017,18.2
A,PC,BMI_GE30,HR,2019,23
A,PC,BMI_GE30,HR,2022,16.7
A,PC,BMI_GE30,HR,2025,16.5
A,PC,BMI_GE30,HU,2008,20
A,PC,BMI_GE30,HU,2014,21.2
A,PC,BMI_GE30,HU,2017,20
A,PC,BMI_GE30,HU,2019,24.5
A,PC,BMI_GE30,HU,2022,22.2
A,PC,BMI_GE30,HU,2025,20.9
A,PC,BMI_GE30,IE,2014,18.7
A,PC,BMI_GE30,IE,2017,15.2
A,PC,BMI_GE30,IE,2019,NA
A,PC,BMI_GE30,IE,2022,19.8
A,PC,BMI_GE30,IE,2025,22.1
A,PC,BMI_GE30,IS,2014,19
A,PC,BMI_GE30,IS,2017,20.8
A,PC,BMI_GE30,IS,2019,22.3
A,PC,BMI_GE30,IS,2022,24.2
A,PC,BMI_GE30,IT,2014,10.8
A,PC,BMI_GE30,IT,2017,5.9
A,PC,BMI_GE30,IT,2019,11.7
A,PC,BMI_GE30,IT,2022,7.1
A,PC,BMI_GE30,IT,2025,7
A,PC,BMI_GE30,LT,2014,17.3
A,PC,BMI_GE30,LT,2017,17.5
A,PC,BMI_GE30,LT,2019,18.9
A,PC,BMI_GE30,LT,2022,20.6
A,PC,BMI_GE30,LT,2025,21.5
A,PC,BMI_GE30,LU,2014,15.6
A,PC,BMI_GE30,LU,2017,16
A,PC,BMI_GE30,LU,2019,16.5
A,PC,BMI_GE30,LU,2022,17
A,PC,BMI_GE30,LU,2025,16.3
A,PC,BMI_GE30,LV,2008,16.9
A,PC,BMI_GE30,LV,2014,21.3
A,PC,BMI_GE30,LV,2017,21.5
A,PC,BMI_GE30,LV,2019,23
A,PC,BMI_GE30,LV,2022,23.3
A,PC,BMI_GE30,LV,2025,24.6
A,PC,BMI_GE30,ME,2017,10.6
A,PC,BMI_GE30,ME,2022,7.8
A,PC,BMI_GE30,MK,2017,10.5
A,PC,BMI_GE30,MK,2022,15.4
A,PC,BMI_GE30,MT,2008,22.9
A,PC,BMI_GE30,MT,2014,26
A,PC,BMI_GE30,MT,2017,25.7
A,PC,BMI_GE30,MT,2019,28.7
A,PC,BMI_GE30,MT,2022,26.1
A,PC,BMI_GE30,MT,2025,26.6
A,PC,BMI_GE30,NL,2014,13.3
A,PC,BMI_GE30,NL,2017,12.7
A,PC,BMI_GE30,NL,2019,14.7
A,PC,BMI_GE30,NL,2022,13.2
A,PC,BMI_GE30,NL,2025,15
A,PC,BMI_GE30,NO,2014,13.1
A,PC,BMI_GE30,NO,2017,14.1
A,PC,BMI_GE30,NO,2019,14.1
A,PC,BMI_GE30,NO,2022,16.1
A,PC,BMI_GE30,NO,2025,17
A,PC,BMI_GE30,PL,2008,16.4
A,PC,BMI_GE30,PL,2014,17.2
A,PC,BMI_GE30,PL,2017,16.9
A,PC,BMI_GE30,PL,2019,19
A,PC,BMI_GE30,PL,2022,18.6
A,PC,BMI_GE30,PL,2025,19.4
A,PC,BMI_GE30,PT,2014,16.6
A,PC,BMI_GE30,PT,2017,15.7
A,PC,BMI_GE30,PT,2019,17.7
A,PC,BMI_GE30,PT,2022,15.8
A,PC,BMI_GE30,PT,2025,17
A,PC,BMI_GE30,RO,2008,7.9
A,PC,BMI_GE30,RO,2014,9.4
A,PC,BMI_GE30,RO,2017,10.4
A,PC,BMI_GE30,RO,2019,10.9
A,PC,BMI_GE30,RO,2022,10.3
A,PC,BMI_GE30,RO,2025,12.9
A,PC,BMI_GE30,RS,2017,13.3
A,PC,BMI_GE30,RS,2019,17.3
A,PC,BMI_GE30,RS,2022,11.6
A,PC,BMI_GE30,RS,2025,13.6
A,PC,BMI_GE30,SE,2014,14
A,PC,BMI_GE30,SE,2017,17.1
A,PC,BMI_GE30,SE,2019,15.3
A,PC,BMI_GE30,SE,2022,16.7
A,PC,BMI_GE30,SE,2025,17.5
A,PC,BMI_GE30,SI,2008,16.8
A,PC,BMI_GE30,SI,2014,19.2
A,PC,BMI_GE30,SI,2017,16.2
A,PC,BMI_GE30,SI,2019,19.9
A,PC,BMI_GE30,SI,2022,17.3
A,PC,BMI_GE30,SI,2025,18.6
A,PC,BMI_GE30,SK,2008,15.1
A,PC,BMI_GE30,SK,2014,16.3
A,PC,BMI_GE30,SK,2017,14.4
A,PC,BMI_GE30,SK,2019,19.7
A,PC,BMI_GE30,SK,2022,17.1
A,PC,BMI_GE30,SK,2025,17.7
A,PC,BMI_GE30,TR,2008,16.2
A,PC,BMI_GE30,TR,2014,21.2
A,PC,BMI_GE30,TR,2019,22.3
A,PC,BMI_GE30,TR,2022,20.1
A,PC,BMI_GE30,TR,2025,21.4
A,PC,BMI_GE30,UK,2014,20.1
A,PC,BMI_GE30,UK,2017,21
